Time_us,CH1,CH2,CH3,CH4
716.14583,-289.5,-298.8,-42.5,2
716861.98,289.5,298.8,62.7,2
1435675.2,-289.5,-298.8,-42.5,2
2163386.7,289.5,298.8,62.7,2
2897831.8,-289.6,-298.8,-42.5,2
3636794,289.6,298.8,62.7,2
4378915.7,-289.6,-298.8,-42.5,2
5123297.5,289.6,298.8,62.7,2
5869336.8,-289.6,-298.8,-42.5,2
6616513.1,289.6,298.8,62.7,2
7364518.6,-289.6,-298.8,-42.6,2
8113135.4,289.6,298.8,62.7,2
8862225.3,-289.6,-298.8,-42.6,2
9611652.2,289.6,298.9,62.7,2
10361319,-289.6,-298.9,-42.6,2
11111134,289.6,298.9,62.7,2
11861053,-289.7,-298.9,-42.6,2
12611050,289.7,298.9,62.7,2
13361147,-289.7,-298.9,-42.6,2
14111286,289.7,298.9,62.7,2
14861416,-289.7,-298.9,-42.6,2
15611587,289.7,298.9,62.7,2
16361771,-289.7,-298.9,-42.6,2
17111952,289.7,298.9,62.7,2
17862122,-289.7,-298.9,-42.6,2
18612289,289.7,298.9,62.7,2
19362468,-289.7,-298.9,-42.6,2
20112638,289.7,298.9,62.7,2
20862788,-289.8,-298.9,-42.6,2
21612922,289.8,299,62.7,2
22363056,-289.8,-299,-42.6,2
23113177,289.8,299,62.7,2
23863304,-289.8,-299,-42.6,2
24613436,289.8,299,62.7,2
25363565,-289.8,-299,-42.6,2
26113682,289.8,299,62.7,2
26863793,-289.8,-299,-42.6,2
27613894,289.8,299,62.7,2
28363995,-289.8,-299,-42.6,2
29114099,289.8,299,62.7,2
29864205,-289.8,-299,-42.6,2
30614320,289.9,299,62.7,2
31364436,-289.9,-299,-42.6,2
32114557,289.9,299,62.7,2
32864677,-289.9,-299,-42.6,2
33614791,289.9,299,62.7,2
34364904,-289.9,-299.1,-42.6,2
35115023,289.9,299.1,62.7,2
35865147,-289.9,-299.1,-42.6,2
36615257,289.9,299.1,62.7,2
37365380,-289.9,-299.1,-42.6,2
38115493,289.9,299.1,62.7,2
38865594,-289.9,-299.1,-42.6,2
39615686,290,299.1,62.7,2
40365767,-290,-299.1,-42.6,2
41115841,290,299.1,62.7,2
41865912,-290,-299.1,-42.6,2
42615981,290,299.1,62.7,2
43366047,-290,-299.1,-42.6,2
44116109,290,299.1,62.7,2
44866173,-290,-299.1,-42.6,2
45616243,290,299.1,62.8,2
46366315,-290,-299.2,-42.6,2
47116388,290,299.2,62.8,2
47866454,-290,-299.2,-42.6,2
48616526,290.1,299.2,62.8,2
49366598,-290.1,-299.2,-42.6,2
50116679,290.1,299.2,62.8,2
