Time_s;CH1;CH2;CH3;CH4
0,00071614583;-199,4;-176,6;-26,2;2
0,71686198;199,4;176,6;46,3;2
1,4355197;-199,4;-176,6;-26,2;2
2,1630695;199,4;176,5;46,3;2
2,8970657;-199,4;-176,5;-26,1;2
3,635663;199,3;176,5;46,3;2
4,3775733;-199,3;-176,5;-26,1;2
5,121971;199,3;176,5;46,3;2
5,868049;-199,3;-176,4;-26,1;2
6,6152963;199,3;176,4;46,3;2
7,3634075;-199,3;-176,4;-26,1;2
8,112208;199,2;176,4;46,2;2
8,8614133;-199,2;-176,4;-26,1;2
9,6109084;199,2;176,4;46,2;2
10,360596;-199,2;-176,3;-26,1;2
11,110417;199,2;176,3;46,2;2
11,86036;-199,2;-176,3;-26,1;2
